Kategori,Rekening,Jumlah,Tanggal,Catatan,Tipe
Belanja,BANK BRI,"63,500",2025-02-15 12:13,Seakun Chat GPT,-
Makanan,MANDIRI,"150,000",2025-02-15 11:54,,-
Jajan,MANDIRI,"83,605",2025-02-15 11:54,,-
Bensin,MANDIRI,"100,000",2025-02-15 11:54,,-
Laundry,MANDIRI,"70,000",2025-02-15 11:53,,-
Kirim Saldo,BANK BNI,"4,828",2025-02-15 11:50,Ke MANDIRI,-
Terima Saldo,MANDIRI,"4,828",2025-02-15 11:50,Dari BANK BNI,+
Kirim Saldo,BANK BNI,"69,588",2025-02-15 11:48,Ke GOPAY,-
Terima Saldo,GOPAY,"69,588",2025-02-15 11:48,Dari BANK BNI,+
Kirim Saldo,BANK BNI,"36,137",2025-02-15 11:46,Ke BANK BRI,-
Terima Saldo,BANK BRI,"36,137",2025-02-15 11:46,Dari BANK BNI,+
Kirim Saldo,BANK BNI,"8,247",2025-02-15 11:46,Ke SeaBank,-
Terima Saldo,SeaBank,"8,247",2025-02-15 11:46,Dari BANK BNI,+
Kirim Saldo,DOMPET,"13,113",2025-02-15 11:45,Ke BANK BRI,-
Terima Saldo,BANK BRI,"13,113",2025-02-15 11:45,Dari DOMPET,+
Kirim Saldo,DOMPET,"56,887",2025-02-15 11:44,Ke SHOPEE PAY,-
Terima Saldo,SHOPEE PAY,"56,887",2025-02-15 11:44,Dari DOMPET,+
Tambah Pinjaman,MANDIRI,"70,000",2025-02-15 11:42,Balance,-
Tambah Pinjaman,MANDIRI,"250,000",2025-02-15 11:41,Balance,-
Elektronik,MANDIRI,"1,400,000",2025-02-05 11:52,Cicilan HP Bulan 1 Reno 13 F 5G,-
Gaji Maxximum,MANDIRI,"6,500,000",2025-02-05 11:39,Gaji Bulan Januari 2025,+
Makanan,MANDIRI,"200,000",2025-02-02 00:39,,-
Bensin,MANDIRI,"100,000",2025-02-02 00:39,,-
Elektronik,MANDIRI,"1,600,000",2025-02-02 00:39,DP HP OPPO RENO 13F 5G,-
Kost,MANDIRI,"750,000",2025-02-02 00:38,,-
Laundry,MANDIRI,"35,000",2025-02-02 00:38,,-
Kirim Saldo,BANK BNI,"152,021",2025-02-02 00:37,Ke MANDIRI,-
Terima Saldo,MANDIRI,"152,021",2025-02-02 00:37,Dari BANK BNI,+
Kirim Saldo,BANK BNI,"182,688",2025-02-02 00:36,Ke DOMPET,-
Terima Saldo,DOMPET,"182,688",2025-02-02 00:36,Dari BANK BNI,+
Kirim Saldo,SHOPEE PAY,"23,302",2025-02-02 00:35,Ke DOMPET,-
Terima Saldo,DOMPET,"23,302",2025-02-02 00:35,Dari SHOPEE PAY,+
Tagih Hutang,BANK BRI,"20,000",2025-02-02 00:34,,+
Kirim Saldo,BANK BNI,"50,000",2025-02-02 00:34,Ke BANK BRI,-
Terima Saldo,BANK BRI,"50,000",2025-02-02 00:34,Dari BANK BNI,+
Bensin,MANDIRI,"50,000",2025-01-25 05:30,,-
Rokok,MANDIRI,"50,000",2025-01-22 21:01,,-
Minuman,BANK BNI,"22,000",2025-01-21 18:23,Agnia,-
Tambah Pinjaman,DOMPET,"20,000",2025-01-20 19:39,,-
Kuota Internet,DOMPET,"15,000",2025-01-20 19:39,,-
Laundry,DOMPET,"30,000",2025-01-20 19:38,,-
Kirim Saldo,DOMPET,"67,000",2025-01-20 19:38,Ke BANK BRI,-
Terima Saldo,BANK BRI,"67,000",2025-01-20 19:38,Dari DOMPET,+
Kirim Saldo,BANK BNI,"33,082",2025-01-20 19:37,Ke DOMPET,-
Terima Saldo,DOMPET,"33,082",2025-01-20 19:37,Dari BANK BNI,+
Kirim Saldo,MANDIRI,"43,280",2025-01-20 19:37,Ke DOMPET,-
Terima Saldo,DOMPET,"43,280",2025-01-20 19:37,Dari MANDIRI,+
Bensin,DOMPET,"100,000",2025-01-20 19:37,,-
Kirim Saldo,SHOPEE PAY,"14,148",2025-01-20 19:32,Ke DOMPET,-
Terima Saldo,DOMPET,"14,148",2025-01-20 19:32,Dari SHOPEE PAY,+
Adek,BANK BNI,"50,000",2025-01-20 13:00,,-
Laundry,DOMPET,"30,000",2025-01-17 15:38,,-
Kirim Saldo,MANDIRI,"200,000",2025-01-17 15:37,Ke DOMPET,-
Terima Saldo,DOMPET,"200,000",2025-01-17 15:37,Dari MANDIRI,+
Kesehatan,DOMPET,"20,000",2025-01-17 15:37,Pangkas,-
Makanan,DOMPET,"30,000",2025-01-17 15:37,,-
Bensin,MANDIRI,"50,000",2025-01-17 15:19,,-
Ayang,MANDIRI,"250,000",2025-01-17 14:30,Boneka,-
Listrik,BANK BNI,"50,000",2025-01-15 21:15,Rumah,-
Jajan,DOMPET,"25,000",2025-01-15 09:52,Jajan Aoka,-
Kost,DOMPET,"70,000",2025-01-14 09:51,Iuran Kost Januari - Agustus 2025,-
Bensin,DOMPET,"50,000",2025-01-13 22:13,,-
Makanan,DOMPET,"60,000",2025-01-13 19:50,Makan agnia,-
Balance,BANK BRI,"11,500",2025-01-12 15:19,,-
Balance,DOMPET,"197,500",2025-01-12 15:19,,-
Tagih Hutang,BANK BRI,"45,000",2025-01-12 15:18,,+
Belanja,MANDIRI,"75,000",2025-01-12 10:56,Mingguan,-
Kirim Saldo,MANDIRI,"300,000",2025-01-12 10:49,Ke DOMPET,-
Terima Saldo,DOMPET,"300,000",2025-01-12 10:49,Dari MANDIRI,+
Jajan,BANK BNI,"100,000",2025-01-11 11:38,Madu,-
Ayang,BANK BNI,"300,000",2025-01-10 19:37,,-
Makanan,DOMPET,"30,000",2025-01-10 19:29,Makan,-
Minuman,MANDIRI,"20,000",2025-01-10 19:29,Lemon Tea,-
Belanja,MANDIRI,"150,000",2025-01-09 18:41,Mingguan ,-
Rokok,DOMPET,"50,000",2025-01-08 17:17,Samsu refil 2 bks,-
Jajan,DOMPET,"20,000",2025-01-08 16:42,Rambutan,-
Motor,DOMPET,"450,000",2025-01-08 14:05,Pajak tahun 2024,-
Kirim Saldo,BANK BNI,"500,000",2025-01-08 13:39,Ke DOMPET,-
Terima Saldo,DOMPET,"500,000",2025-01-08 13:39,Dari BANK BNI,+
Biaya Admin,BANK BNI,"7,500",2025-01-08 13:39,Biaya Admin,-
Adek,MANDIRI,"50,000",2025-01-07 13:21,,-
Tambah Pinjaman,DOMPET,"50,000",2025-01-07 12:41,Beli Oli,-
Laundry,DOMPET,"30,000",2025-01-06 19:01,,-
Jajan,DOMPET,"5,000",2025-01-06 19:01,Cincau ,-
Bensin,DOMPET,"50,000",2025-01-06 09:25,,-
Bensin,DOMPET,"50,000",2025-01-05 10:46,Bensin Pulang,-
Belanja,DOMPET,"90,000",2025-01-05 10:46,Belanja Mingguan,-
Motor,DOMPET,"40,000",2025-01-05 10:45,Kunci L,-
Rokok,DOMPET,"75,000",2025-01-05 10:45,Sampoerna Mild 2 Bks,-
Bensin,DOMPET,"100,000",2025-01-05 10:44,Pulang Ke Mekarwangi,-
Jajan,DOMPET,"75,000",2025-01-05 10:44,Sukabumi,-
Jajan,DOMPET,"120,000",2025-01-05 10:44,Oleh Oleh Pulang Taun baru,-
Bensin,MANDIRI,"50,000",2025-01-05 10:34,,-
Jajan,MANDIRI,"40,351",2025-01-05 10:34,,-
Kirim Saldo,MANDIRI,"26,398",2025-01-05 10:33,Ke DOMPET,-
Terima Saldo,DOMPET,"26,398",2025-01-05 10:33,Dari MANDIRI,+
Kirim Saldo,GOPAY,"41,058",2025-01-05 10:32,Ke DOMPET,-
Terima Saldo,DOMPET,"41,058",2025-01-05 10:32,Dari GOPAY,+
Kirim Saldo,BANK BRI,"10,750",2025-01-05 10:31,Ke DOMPET,-
Terima Saldo,DOMPET,"10,750",2025-01-05 10:31,Dari BANK BRI,+
Kirim Saldo,BANK BNI,"52,794",2025-01-05 10:31,Ke DOMPET,-
Terima Saldo,DOMPET,"52,794",2025-01-05 10:31,Dari BANK BNI,+
Spay Later,MANDIRI,"600,000",2025-01-05 10:28,,-
Gaji Maxximum,MANDIRI,"6,500,000",2025-01-05 10:25,Gaji Bulan Desember 2024,+
Kost,MANDIRI,"650,000",2024-12-28 10:27,Kost Januari 2025,-
Kirim Saldo,BANK BNI,"6,169",2024-12-27 21:21,Ke MANDIRI,-
Terima Saldo,MANDIRI,"6,169",2024-12-27 21:21,Dari BANK BNI,+
Kirim Saldo,DOMPET,"29,000",2024-12-27 21:20,Ke SeaBank,-
Terima Saldo,SeaBank,"29,000",2024-12-27 21:20,Dari DOMPET,+
Kirim Saldo,SHOPEE PAY,"5,100",2024-12-27 21:19,Ke SeaBank,-
Terima Saldo,SeaBank,"5,100",2024-12-27 21:19,Dari SHOPEE PAY,+
Belanja,MANDIRI,"141,000",2024-12-27 21:11,Belanja Mingguan,-
Jajan,MANDIRI,"86,000",2024-12-27 21:11,,-
Kirim Saldo,MANDIRI,"700,000",2024-12-27 21:10,Ke DOMPET,-
Terima Saldo,DOMPET,"700,000",2024-12-27 21:10,Dari MANDIRI,+
Balance,SeaBank,"75,000",2024-12-25 21:42,,-
Jajan,GOPAY,"19,344",2024-12-25 21:41,Canva pro,-
Kirim Saldo,Bibit,"4,944",2024-12-25 21:40,Ke GOPAY,-
Terima Saldo,GOPAY,"4,944",2024-12-25 21:40,Dari Bibit,+
Kirim Saldo,Bibit,"19,056",2024-12-25 21:38,Ke Bank Jago,-
Terima Saldo,Bank Jago,"19,056",2024-12-25 21:38,Dari Bibit,+
Laundry,SeaBank,"35,000",2024-12-25 21:30,,-
Tagih Hutang,BANK BRI,"25,000",2024-12-25 21:29,,+
Elektronik,MANDIRI,"345,500",2024-12-25 10:01,Beli Ram,-
Tagih Hutang,MANDIRI,"245,500",2024-12-25 10:00,,+
Minuman,DOMPET,"54,000",2024-12-24 21:30,Minuman,-
Jajan,GOPAY,"63,000",2024-12-23 20:36,Chat GPT,-
Pekerjaan,BANK BNI,"3,500,000",2024-12-23 18:55,Sidopa,+
Bensin,DOMPET,"55,000",2024-12-23 16:17,,-
Belanja,MANDIRI,"120,000",2024-12-21 15:53,"Kunci L, Jam Dinding, Baterai AA",-
Film,MANDIRI,"110,000",2024-12-21 12:01,Mufasa: The lion king ,-
Kirim Saldo,MANDIRI,"200,000",2024-12-20 19:15,Ke DOMPET,-
Terima Saldo,DOMPET,"200,000",2024-12-20 19:15,Dari MANDIRI,+
Motor,DOMPET,"5,000",2024-12-20 19:15,Parkir,-
Belanja,MANDIRI,"100,000",2024-12-20 19:14,Mingguan,-
Bensin,MANDIRI,"50,000",2024-12-20 19:09,,-
Motor,BANK BNI,"150,000",2024-12-20 11:31,,-
Kirim Saldo,DOMPET,"131,000",2024-12-20 11:19,Ke BANK BNI,-
Terima Saldo,BANK BNI,"131,000",2024-12-20 11:19,Dari DOMPET,+
Kirim Saldo,MANDIRI,"268,000",2024-12-20 11:19,Ke BANK BNI,-
Terima Saldo,BANK BNI,"268,000",2024-12-20 11:19,Dari MANDIRI,+
Kirim Saldo,BANK BRI,"50,000",2024-12-20 11:18,Ke BANK BNI,-
Terima Saldo,BANK BNI,"50,000",2024-12-20 11:18,Dari BANK BRI,+
Kirim Saldo,BANK BRI,"125,000",2024-12-20 11:17,Ke GOPAY,-
Terima Saldo,GOPAY,"125,000",2024-12-20 11:17,Dari BANK BRI,+
Adek,BANK BNI,"50,000",2024-12-16 11:31,Ulang Tahun,-
Kirim Saldo,BANK BRI,250,2024-12-14 23:47,Ke SHOPEE PAY,-
Terima Saldo,SHOPEE PAY,250,2024-12-14 23:47,Dari BANK BRI,+
Kirim Saldo,BANK BNI,"1,023",2024-12-14 23:47,Ke SHOPEE PAY,-
Terima Saldo,SHOPEE PAY,"1,023",2024-12-14 23:47,Dari BANK BNI,+
Kirim Saldo,MANDIRI,"52,500",2024-12-14 23:46,Ke BANK BNI,-
Terima Saldo,BANK BNI,"52,500",2024-12-14 23:46,Dari MANDIRI,+
Kirim Saldo,DOMPET,"145,000",2024-12-14 23:45,Ke BANK BNI,-
Terima Saldo,BANK BNI,"145,000",2024-12-14 23:45,Dari DOMPET,+
Kesehatan,DOMPET,"20,000",2024-12-14 23:33,Cukur rambut ,-
Bensin,DOMPET,"50,000",2024-12-14 23:33,,-
Jajan,DOMPET,"30,000",2024-12-14 23:32,,-
Listrik,DOMPET,"53,000",2024-12-14 23:32,,-
Makanan,DOMPET,"15,000",2024-12-14 23:32,,-
Motor,DOMPET,"15,000",2024-12-14 23:32,Cuci Motor,-
Rokok,DOMPET,"35,000",2024-12-14 23:31,Sampoerna Royal Splash,-
Kirim Saldo,MANDIRI,"500,000",2024-12-14 11:39,Ke DOMPET,-
Terima Saldo,DOMPET,"500,000",2024-12-14 11:39,Dari MANDIRI,+
Bensin,BANK BNI,"50,000",2024-12-14 11:31,,-
Belanja,BANK BNI,"127,000",2024-12-14 11:30,,-
Rokok,DOMPET,"35,000",2024-12-13 15:00,Sampoerna Royal Splash,-
Balance,BANK BNI,"95,339",2024-12-12 20:25,,-
Kirim Saldo,BANK BNI,"24,500",2024-12-12 20:24,Ke BANK BRI,-
Terima Saldo,BANK BRI,"24,500",2024-12-12 20:24,Dari BANK BNI,+
Kirim Saldo,DOMPET,"100,000",2024-12-12 14:47,Ke MANDIRI,-
Terima Saldo,MANDIRI,"100,000",2024-12-12 14:47,Dari DOMPET,+
Belanja,MANDIRI,"186,000",2024-12-11 18:52,Belanja Mingguan,-
Makanan,DOMPET,"30,000",2024-12-10 20:02,Belanja Makan,-
Belanja,MANDIRI,"26,000",2024-12-09 18:50,Telor 10,-
Laundry,DOMPET,"35,000",2024-12-09 18:50,,-
Makanan,DOMPET,"15,000",2024-12-09 13:52,Makan Siang,-
Bensin,DOMPET,"50,000",2024-12-09 07:11,,-
Jajan,MANDIRI,"35,500",2024-12-07 17:25,,-
Jajan,MANDIRI,"80,000",2024-12-07 02:53,,-
Bensin,DOMPET,"50,000",2024-12-07 00:41,,-
Kirim Saldo,MANDIRI,"323,000",2024-12-06 18:49,Ke DOMPET,-
Terima Saldo,DOMPET,"323,000",2024-12-06 18:49,Dari MANDIRI,+
Jajan,MANDIRI,"45,000",2024-12-06 17:23,,-
Adek,MANDIRI,"50,000",2024-12-06 14:16,,-
Spay Later,BANK BNI,"554,758",2024-12-06 11:38,,-
Kirim Saldo,BANK BNI,"36,015",2024-12-06 11:37,Ke DOMPET,-
Terima Saldo,DOMPET,"36,015",2024-12-06 11:37,Dari BANK BNI,+
Makanan,DOMPET,"50,000",2024-12-06 11:36,Makan 1-6 Desember 2024,-
Belanja,DOMPET,"20,000",2024-12-06 11:36,Galon,-
Belanja,DOMPET,"45,000",2024-12-06 11:36,Belanja Mingguan,-
Kirim Saldo,BANK BNI,"38,726",2024-12-06 11:35,Ke SHOPEE PAY,-
Terima Saldo,SHOPEE PAY,"38,726",2024-12-06 11:35,Dari BANK BNI,+
Kirim Saldo,BANK BRI,"1,750",2024-12-06 11:24,Ke SHOPEE PAY,-
Terima Saldo,SHOPEE PAY,"1,750",2024-12-06 11:24,Dari BANK BRI,+
Kirim Saldo,DOMPET,"13,015",2024-12-06 11:20,Ke SeaBank,-
Terima Saldo,SeaBank,"13,015",2024-12-06 11:20,Dari DOMPET,+
Kirim Saldo,Bibit,"35,300",2024-12-06 11:19,Ke SeaBank,-
Terima Saldo,SeaBank,"35,300",2024-12-06 11:19,Dari Bibit,+
Kirim Saldo,Bibit,"70,700",2024-12-06 11:17,Ke MANDIRI,-
Terima Saldo,MANDIRI,"70,700",2024-12-06 11:17,Dari Bibit,+
Gaji Maxximum,MANDIRI,"6,500,000",2024-12-06 11:06,Gaji Bulan November 2024,+
Tambah Pinjaman,BANK BNI,"62,500",2024-12-05 14:01,,-
Gaji Maxximum,MANDIRI,"250,000",2024-12-04 20:22,SPD Cirebon,+
Tambah Pinjaman,BANK BNI,"58,000",2024-12-04 13:03,Kabel data IP pay latter,-
Rokok,DOMPET,"27,000",2024-11-30 11:00,Magnum,-
Bensin,DOMPET,"50,000",2024-11-30 09:10,,-
Laundry,DOMPET,"23,000",2024-11-30 09:09,,-
Kost,DOMPET,"750,000",2024-11-30 08:29,,-
Tambah Pinjaman,MANDIRI,"102,500",2024-11-29 18:42,,-
Tambah Pinjaman,MANDIRI,"52,500",2024-11-29 18:00,,-
Kirim Saldo,SHOPEE PAY,"30,000",2024-11-28 09:28,Ke SeaBank,-
Terima Saldo,SeaBank,"30,000",2024-11-28 09:28,Dari SHOPEE PAY,+
Kirim Saldo,SeaBank,"200,000",2024-11-28 09:28,Ke MANDIRI,-
Terima Saldo,MANDIRI,"200,000",2024-11-28 09:28,Dari SeaBank,+
Tagih Hutang,SeaBank,"200,000",2024-11-26 19:12,,+
Jajan,BANK BNI,"263,000",2024-11-25 19:37,,-
Jajan,BANK BNI,"125,000",2024-11-24 14:59,BBQ,-
Jajan,BANK BNI,"80,000",2024-11-24 00:17,Mainan ,-
Bensin,BANK BNI,"60,000",2024-11-23 20:35,,-
Belanja,BANK BNI,"200,000",2024-11-23 20:35,,-
Jajan,BANK BNI,"92,019",2024-11-23 20:35,,-
Belanja,BANK BNI,"60,000",2024-11-23 20:35,,-
Kirim Saldo,SHOPEE PAY,"14,199",2024-11-23 20:34,Ke BANK BNI,-
Terima Saldo,BANK BNI,"14,199",2024-11-23 20:34,Dari SHOPEE PAY,+
Kirim Saldo,BANK BNI,"672,000",2024-11-23 20:33,Ke DOMPET,-
Terima Saldo,DOMPET,"672,000",2024-11-23 20:33,Dari BANK BNI,+
Kirim Saldo,BANK BNI,"138,880",2024-11-23 20:30,Ke BANK BRI,-
Terima Saldo,BANK BRI,"138,880",2024-11-23 20:30,Dari BANK BNI,+
Tambah Pinjaman,BANK BNI,"50,000",2024-11-20 12:46,,-
Listrik,SHOPEE PAY,"103,000",2024-11-15 22:19,Rumah dan kost,-
Kirim Saldo,BANK BNI,"148,000",2024-11-15 22:13,Ke SHOPEE PAY,-
Terima Saldo,SHOPEE PAY,"148,000",2024-11-15 22:13,Dari BANK BNI,+
Biaya Admin,BANK BNI,"2,000",2024-11-15 22:13,Biaya Admin,-
Rokok,DOMPET,"50,000",2024-11-15 21:41,76 + Ese,-
Kirim Saldo,BANK BNI,"78,560",2024-11-15 21:40,Ke DOMPET,-
Terima Saldo,DOMPET,"78,560",2024-11-15 21:40,Dari BANK BNI,+
Kirim Saldo,BANK BNI,"18,620",2024-11-15 21:38,Ke BANK BRI,-
Terima Saldo,BANK BRI,"18,620",2024-11-15 21:38,Dari BANK BNI,+
Tambah Pinjaman,BANK BNI,"40,000",2024-11-15 21:35,,-
Belanja,BANK BNI,"90,000",2024-11-15 20:37,,-
Belanja,BANK BNI,"200,000",2024-11-15 18:36,Mingguan 2,-
Jajan,DOMPET,"150,000",2024-11-14 21:37,Kaos Asep,-
Minuman,DOMPET,"197,560",2024-11-11 21:42,,-
Bensin,DOMPET,"50,000",2024-11-11 20:52,,-
Kirim Saldo,BANK BNI,"500,000",2024-11-11 20:51,Ke DOMPET,-
Terima Saldo,DOMPET,"500,000",2024-11-11 20:51,Dari BANK BNI,+
Ayang,BANK BNI,"300,000",2024-11-10 08:26,Tf November 2024,-
Kuota Internet,BANK BNI,"120,000",2024-11-09 12:15,Indosat Ayang,-
Belanja,BANK BNI,"105,000",2024-11-08 18:28,Bandung -> Sukabumi,-
Belanja,DOMPET,"20,000",2024-11-08 07:26,Jajan,-
Belanja,BANK BNI,"218,000",2024-11-05 19:58,Belanja Minggu 1 Bulan November 2024,-
Tambah Pinjaman,BANK BNI,"20,000",2024-11-04 20:40,Nyobaan wkwk,-
Kirim Saldo,BANK BRI,"19,649",2024-11-04 20:26,Ke BANK BNI,-
Terima Saldo,BANK BNI,"19,649",2024-11-04 20:26,Dari BANK BRI,+
Gaji Maxximum,BANK BNI,"6,500,000",2024-11-04 15:00,Gaji Bulan Oktober 2024,+
Bensin,DOMPET,"102,500",2024-11-04 08:00,Sukabumi,-
Motor,BANK BNI,"148,500",2024-11-03 20:28,12rb KM,-
Jajan,BANK BNI,"55,000",2024-11-02 20:29,Sabun cuci muka,-
Belanja,BANK BNI,"132,600",2024-11-01 18:52,Jajan Mingguan,-
Kost,DOMPET,"700,000",2024-10-31 23:31,Kost Bulan November 2024,-
Spay Later,BANK BNI,"242,348",2024-10-31 20:28,Oktober 2024,-
Jajan,DOMPET,"130,000",2024-10-30 18:50,,-
Transfer Amplop,DOMPET,"50,000",2024-10-30 18:49,Wa Eben,-
Transfer Amplop,DOMPET,"50,000",2024-10-30 18:49,Teh nur,-
Bensin,DOMPET,"50,000",2024-10-30 18:49,Mekarwangi -> Bandung ,-
Belanja,SHOPEE PAY,"9,880",2024-10-30 18:47,Buku digital,-
Kirim Saldo,BANK BNI,"50,400",2024-10-30 18:46,Ke DOMPET,-
Terima Saldo,DOMPET,"50,400",2024-10-30 18:46,Dari BANK BNI,+
Utang,BANK BNI,"416,782",2024-10-29 12:44,Honest,-
Jajan,BANK BNI,"32,000",2024-10-27 22:39,Mekarwangi -> Bandung,-
Bensin,DOMPET,"50,000",2024-10-27 22:39,Mekarwangi -> Bandung ,-
Belanja,BANK BNI,"175,000",2024-10-27 22:38,Mingguan 3 Oktober 2024,-
Ayang,DOMPET,"50,000",2024-10-26 22:37,Jajan,-
Adek,BANK BNI,"50,000",2024-10-26 07:19,,-
Belanja,BANK BNI,"100,000",2024-10-24 22:13,buah oleh oleh,-
Makanan,BANK BNI,"114,300",2024-10-24 22:13,,-
Kirim Saldo,BANK BNI,"250,000",2024-10-24 22:11,Ke DOMPET,-
Terima Saldo,DOMPET,"250,000",2024-10-24 22:11,Dari BANK BNI,+
Kirim Saldo,BANK BNI,"1,000,000",2024-10-24 22:07,Ke DOMPET,-
Terima Saldo,DOMPET,"1,000,000",2024-10-24 22:07,Dari BANK BNI,+
Bensin,DOMPET,"50,000",2024-10-21 08:04,,-
Belanja,DOMPET,"245,900",2024-10-18 18:48,Week 3 Oktober 2024,-
Ayang,BANK BNI,"302,500",2024-10-16 23:38,Uang jajan bulan Oktober 2024,-
Bayar Hutang,BANK BNI,"200,000",2024-10-16 23:37,,-
Makanan,DOMPET,"62,000",2024-10-16 21:33,Makan + Jajan,-
Makanan,BANK BNI,"47,375",2024-10-16 21:33,,-
Makanan,DOMPET,"30,000",2024-10-16 21:32,Makanan Kucing,-
Kirim Saldo,BANK BNI,"85,325",2024-10-16 21:28,Ke SHOPEE PAY,-
Terima Saldo,SHOPEE PAY,"85,325",2024-10-16 21:28,Dari BANK BNI,+
Bensin,BANK BNI,"51,000",2024-10-16 21:14,,-
Jajan,DOMPET,"10,000",2024-10-15 13:00,,-
Kesehatan,DOMPET,"20,000",2024-10-15 12:59,Pangkas Rambut,-
Rokok,BANK BNI,"201,200",2024-10-12 15:21,Pod,-
Utang,BANK BNI,"33,000",2024-10-11 11:47,Atome Bulan September 2024,-
Kuota Internet,SHOPEE PAY,"88,000",2024-10-11 11:45,,-
Makanan,DOMPET,"30,000",2024-10-10 00:29,Belanja jengkol wkwk,-
Rokok,DOMPET,"32,000",2024-10-10 00:28,,-
Kirim Saldo,BANK BNI,"500,000",2024-10-09 20:23,Ke DOMPET,-
Terima Saldo,DOMPET,"500,000",2024-10-09 20:23,Dari BANK BNI,+
Bensin,BANK BNI,"46,460",2024-10-09 08:06,,-
Kuota Internet,BANK BNI,"50,815",2024-10-06 15:30,Mamah,-
Bensin,BANK BNI,"38,240",2024-10-06 04:19,,-
Listrik,BANK BNI,"48,900",2024-10-05 22:09,Listrik Kost Bulan Oktober 2024,-
Listrik,BANK BNI,"45,538",2024-10-05 22:04,Listrik Rumah Bulan September,-
Balance,BANK BNI,"37,764",2024-10-05 22:01,,-
Kirim Saldo,BANK BNI,"7,853",2024-10-05 21:59,Ke SHOPEE PAY,-
Terima Saldo,SHOPEE PAY,"7,853",2024-10-05 21:59,Dari BANK BNI,+
Belanja,DOMPET,"12,000",2024-10-05 21:58,Parkir Borma,-
Kirim Saldo,BANK BNI,"28,750",2024-10-05 21:55,Ke BANK BRI,-
Terima Saldo,BANK BRI,"28,750",2024-10-05 21:55,Dari BANK BNI,+
Belanja,BANK BNI,"281,300",2024-10-05 21:51,Belanja Minggu 1 Oktober 2024,-
Gaji Maxximum,BANK BNI,"7,000,000",2024-10-05 00:00,Gaji Bulan September 2024,+
Jajan,BANK BNI,"50,000",2024-10-04 22:00,Gacoan,-
Makanan,DOMPET,"5,000",2024-10-03 12:22,,-
Kuota Internet,BANK BRI,"45,000",2024-09-30 22:11,,-
Rokok,DOMPET,"40,000",2024-09-30 22:10,,-
Elektronik,DOMPET,"150,000",2024-09-30 22:10,Perbaikan HP Poco M3,-
Tagih Hutang,DOMPET,"100,000",2024-09-30 22:10,,+
Bayar Hutang,BANK BNI,"1,000,000",2024-09-30 21:53,Seabank Pinjam November 2024,-
Rokok,DOMPET,"64,236",2024-09-30 21:13,,-
Adm Bank,BANK BNI,"19,196",2024-09-30 21:12,,-
Balance,BANK BNI,"50,000",2024-09-30 21:12,,-
Utang,BANK BNI,"721,637",2024-09-30 21:11,Shopee Pinjam Laptop November 2024,-
Utang,BANK BNI,"546,510",2024-09-30 21:09,Spaylater November 2024,-
Utang,BANK BNI,"60,000",2024-09-30 21:08,Seabank Pinjam November 2024 Admin,-
Kost,DOMPET,"600,000",2024-09-29 22:09,Oktober 2024,-
Adek,BANK BNI,"20,000",2024-09-29 18:09,,-
Kirim Saldo,BANK BRI,"200,000",2024-09-29 12:07,Ke DOMPET,-
Terima Saldo,DOMPET,"200,000",2024-09-29 12:07,Dari BANK BRI,+
Belanja,DOMPET,"48,500",2024-09-29 11:03,,-
Kirim Saldo,DOMPET,"48,500",2024-09-29 11:02,Ke BANK BRI,-
Terima Saldo,BANK BRI,"48,500",2024-09-29 11:02,Dari DOMPET,+
Tagih Hutang,BANK BRI,"100,000",2024-09-25 10:52,,+
Kirim Saldo,BANK BNI,"380,000",2024-09-24 22:12,Ke DOMPET,-
Terima Saldo,DOMPET,"380,000",2024-09-24 22:12,Dari BANK BNI,+
Kirim Saldo,BANK BNI,"1,300,000",2024-09-23 20:06,Ke Bibit,-
