Kategori,Rekening,Jumlah,Tanggal,Catatan,Tipe
Terima Saldo,Bibit,"1,300,000",2024-09-23 20:06,Dari BANK BNI,+
Kirim Saldo,BANK BRI,"300,000",2024-09-22 13:11,Ke DOMPET,-
Terima Saldo,DOMPET,"300,000",2024-09-22 13:11,Dari BANK BRI,+
Kesehatan,DOMPET,"20,000",2024-09-21 22:55,Pangkas,-
Kuota Internet,DOMPET,"20,000",2024-09-21 22:55,,-
Bensin,DOMPET,"50,000",2024-09-21 22:54,,-
Motor,DOMPET,"15,000",2024-09-21 22:54,Isi angin,-
Makanan,DOMPET,"20,000",2024-09-21 22:54,,-
Kirim Saldo,SHOPEE PAY,"16,895",2024-09-21 22:53,Ke DOMPET,-
Terima Saldo,DOMPET,"16,895",2024-09-21 22:53,Dari SHOPEE PAY,+
Kirim Saldo,DOMPET,"189,659",2024-09-21 22:51,Ke BANK BRI,-
Terima Saldo,BANK BRI,"189,659",2024-09-21 22:51,Dari DOMPET,+
Kirim Saldo,BANK BNI,"200,000",2024-09-21 22:49,Ke DOMPET,-
Terima Saldo,DOMPET,"200,000",2024-09-21 22:49,Dari BANK BNI,+
Kirim Saldo,BANK BNI,"76,700",2024-09-21 22:47,Ke BANK BRI,-
Terima Saldo,BANK BRI,"76,700",2024-09-21 22:47,Dari BANK BNI,+
Tambah Pinjaman,BANK BNI,"100,000",2024-09-20 22:23,Print sertifikat ,-
Belanja,BANK BNI,"45,000",2024-09-20 22:14,,-
Elektronik,SHOPEE PAY,"9,000",2024-09-20 22:13,Bi checking ,-
Makanan,DOMPET,"20,000",2024-09-20 22:13,,-
Rokok,DOMPET,"20,000",2024-09-19 19:02,Jarcok,-
Makanan,DOMPET,"20,000",2024-09-19 08:30,Makan Pagi,-
Minuman,BANK BRI,"20,000",2024-09-17 20:29,Makaroni,-
Belanja,BANK BNI,"161,000",2024-09-17 20:28,Beras,-
Belanja,BANK BNI,"66,700",2024-09-16 09:39,Makan Pagi,-
Kirim Saldo,BANK BNI,"55,000",2024-09-14 17:56,Ke BANK BRI,-
Terima Saldo,BANK BRI,"55,000",2024-09-14 17:56,Dari BANK BNI,+
Film,BANK BNI,"55,000",2024-09-14 17:56,,-
Utang,BANK BNI,"34,000",2024-09-14 11:36,Atome Card September ,-
Bensin,DOMPET,"50,000",2024-09-14 11:36,,-
Transfer Amplop,BANK BNI,"200,000",2024-09-14 06:06,Matangpuluh Nenek ela,-
Ayang,BANK BNI,"300,000",2024-09-14 06:05,,-
Bayar Hutang,BANK BNI,"200,000",2024-09-14 06:05,,-
Belanja,BANK BNI,"329,600",2024-09-13 17:13,Kompor gas,-
Kirim Saldo,BANK BNI,"50,000",2024-09-13 13:14,Ke SHOPEE PAY,-
Terima Saldo,SHOPEE PAY,"50,000",2024-09-13 13:14,Dari BANK BNI,+
Belanja,SHOPEE PAY,"56,000",2024-09-13 13:14,Spotify,-
Belanja,BANK BRI,"62,500",2024-09-12 23:08,Jemuran,-
Adek,BANK BNI,"50,000",2024-09-12 20:44,Top up Dana,-
Rokok,DOMPET,"26,000",2024-09-12 20:44,Twiz kuning ,-
Belanja,BANK BNI,"32,000",2024-09-12 20:43,Telur bumbu nasi goreng ,-
Makanan,DOMPET,"20,000",2024-09-11 19:32,,-
Belanja,BANK BNI,"161,800",2024-09-11 19:32,Belanja Bulanan,-
Makanan,DOMPET,"20,000",2024-09-10 21:26,Makan Pagi,-
Kuota Internet,SHOPEE PAY,"85,000",2024-09-10 21:26,,-
Kirim Saldo,BANK BNI,"100,000",2024-09-10 21:24,Ke SHOPEE PAY,-
Terima Saldo,SHOPEE PAY,"100,000",2024-09-10 21:24,Dari BANK BNI,+
Minuman,DOMPET,"100,000",2024-09-09 22:23,Bos Opik,-
Bensin,DOMPET,"50,000",2024-09-09 18:18,,-
Makanan,DOMPET,"30,000",2024-09-09 18:18,Pagi malam,-
Tagih Hutang,BANK BRI,"50,000",2024-09-09 17:39,,+
Belanja,BANK BRI,"26,000",2024-09-08 15:22,Jemuran pakaian wc,-
Tambah Pinjaman,SHOPEE PAY,"30,000",2024-09-07 22:31,Bengkel,-
Belanja,DOMPET,"25,000",2024-09-07 15:06,Makan,-
Belanja,BANK BNI,"146,700",2024-09-06 18:54,Belanja Bulanan,-
Kirim Saldo,BANK BNI,"250,000",2024-09-05 23:25,Ke DOMPET,-
Terima Saldo,DOMPET,"250,000",2024-09-05 23:25,Dari BANK BNI,+
Makanan,DOMPET,"30,000",2024-09-05 23:24,,-
Makanan,DOMPET,"20,000",2024-09-05 16:02,,-
Listrik,BANK BNI,"53,000",2024-09-05 00:39,59312229681352359172,-
Belanja,DOMPET,"262,481",2024-09-04 22:06,,-
Bensin,DOMPET,"100,000",2024-09-04 22:05,,-
Kesehatan,DOMPET,"50,000",2024-09-04 22:05,,-
Kirim Saldo,DOMPET,"95,631",2024-09-04 22:02,Ke BANK BRI,-
Terima Saldo,BANK BRI,"95,631",2024-09-04 22:02,Dari DOMPET,+
Kirim Saldo,SHOPEE PAY,"36,350",2024-09-04 22:01,Ke BANK BRI,-
Terima Saldo,BANK BRI,"36,350",2024-09-04 22:01,Dari SHOPEE PAY,+
Kirim Saldo,BANK BNI,"232,112",2024-09-04 22:00,Ke DOMPET,-
Terima Saldo,DOMPET,"232,112",2024-09-04 22:00,Dari BANK BNI,+
Gaji Maxximum,BANK BNI,"6,500,000",2024-09-04 14:00,Gaji Bulan Agustus 2024,+
Kirim Saldo,BANK BNI,"210,000",2024-09-04 13:44,Ke DOMPET,-
Terima Saldo,DOMPET,"210,000",2024-09-04 13:44,Dari BANK BNI,+
Adm Bank,SeaBank,"60,000",2024-08-30 12:09,Bunga Pinjam Seabank,-
Kirim Saldo,SHOPEE PAY,"765,000",2024-08-30 12:08,Ke SeaBank,-
Terima Saldo,SeaBank,"765,000",2024-08-30 12:08,Dari SHOPEE PAY,+
Bayar Hutang,SeaBank,"1,000,000",2024-08-30 12:08,,-
Kirim Saldo,BANK BNI,"700,000",2024-08-30 12:06,Ke SHOPEE PAY,-
Terima Saldo,SHOPEE PAY,"700,000",2024-08-30 12:06,Dari BANK BNI,+
Spay Later,BANK BRI,"377,700",2024-08-30 12:00,,-
Utang,BANK BNI,"81,000",2024-08-30 11:56,,-
Utang,BANK BNI,"721,639",2024-08-30 11:54,Spinjam Agustus,-
Kost,DOMPET,"600,000",2024-08-30 11:54,,-
Tambah Pinjaman,SeaBank,"100,000",2024-08-28 23:41,,-
Kirim Saldo,BANK BNI,"800,000",2024-08-27 19:01,Ke DOMPET,-
Terima Saldo,DOMPET,"800,000",2024-08-27 19:01,Dari BANK BNI,+
Makanan,DOMPET,"20,000",2024-08-27 18:56,,-
Belanja,BANK BNI,"103,000",2024-08-27 18:56,,-
Tagih Hutang,BANK BRI,"50,000",2024-08-27 12:05,,+
Tambah Pinjaman,SeaBank,"100,000",2024-08-26 22:37,,-
Tambah Pinjaman,BANK BNI,"50,000",2024-08-26 22:24,,-
Makanan,DOMPET,"15,000",2024-08-26 22:23,,-
Bensin,DOMPET,"100,000",2024-08-25 23:04,,-
Makanan,DOMPET,"100,000",2024-08-25 23:04,,-
Jajan,DOMPET,"30,000",2024-08-25 23:04,,-
Balance,DOMPET,"245,082",2024-08-25 23:04,Tamu Ke Rumah,-
Motor,DOMPET,"500,000",2024-08-25 23:03,Service 10000 KM,-
Makanan,DOMPET,"50,000",2024-08-25 23:03,Nangka,-
Kirim Saldo,SeaBank,"120,732",2024-08-25 23:01,Ke BANK BRI,-
Terima Saldo,BANK BRI,"120,732",2024-08-25 23:01,Dari SeaBank,+
Kirim Saldo,SeaBank,"377,082",2024-08-25 23:01,Ke DOMPET,-
Terima Saldo,DOMPET,"377,082",2024-08-25 23:01,Dari SeaBank,+
Tagih Hutang,BANK BRI,"92,000",2024-08-25 23:00,,+
Kirim Saldo,BANK BNI,"659,000",2024-08-25 22:57,Ke DOMPET,-
Terima Saldo,DOMPET,"659,000",2024-08-25 22:57,Dari BANK BNI,+
Kirim Saldo,SHOPEE PAY,"40,000",2024-08-25 22:57,Ke DOMPET,-
Terima Saldo,DOMPET,"40,000",2024-08-25 22:57,Dari SHOPEE PAY,+
Kirim Saldo,DOMPET,"100,000",2024-08-21 15:35,Ke SHOPEE PAY,-
Terima Saldo,SHOPEE PAY,"100,000",2024-08-21 15:35,Dari DOMPET,+
Belanja,BANK BNI,"103,800",2024-08-20 19:49,,-
Kuota Internet,BANK BRI,"26,000",2024-08-20 15:56,,-
Makanan,DOMPET,"100,000",2024-08-20 08:01,,-
Kirim Saldo,BANK BRI,"8,750",2024-08-20 07:59,Ke DOMPET,-
Terima Saldo,DOMPET,"8,750",2024-08-20 07:59,Dari BANK BRI,+
Kesehatan,SHOPEE PAY,"35,000",2024-08-20 07:57,Obat Merah Jerawat ,-
Kirim Saldo,BANK BNI,"996,081",2024-08-20 07:56,Ke DOMPET,-
Terima Saldo,DOMPET,"996,081",2024-08-20 07:56,Dari BANK BNI,+
Bensin,DOMPET,"150,000",2024-08-17 08:01,,-
Jajan,DOMPET,"238,831",2024-08-16 08:02,Agustusan ,-
Jajan,DOMPET,"150,000",2024-08-16 08:01,Jajan Dijalan,-
Adek,BANK BNI,"50,000",2024-08-15 09:54,Agustus an,-
Belanja,DOMPET,"250,000",2024-08-15 08:00,Belanja Sebelum Pulang Agustusan,-
Tambah Pinjaman,SHOPEE PAY,"42,000",2024-08-14 12:29,,-
Ayang,BANK BNI,"504,000",2024-08-14 08:27,Makan+Obat+AdminTF,-
Pekerjaan,BANK BNI,"2,500,000",2024-08-14 07:54,MTC big book,+
Jajan,DOMPET,"53,000",2024-08-11 15:33,,-
Bensin,DOMPET,"100,000",2024-08-11 15:32,,-
Makanan,DOMPET,"50,000",2024-08-11 15:32,,-
Kesehatan,SHOPEE PAY,"55,990",2024-08-11 15:31,Obat Isotrica Jerawat,-
Tagih Hutang,BANK BRI,"70,000",2024-08-11 15:29,,+
Permainan,BANK BNI,"150,000",2024-08-10 15:38,Ultah,-
Belanja,BANK BNI,"170,000",2024-08-10 15:37,Belanja Bulanan Prabot,-
Tambah Pinjaman,DOMPET,"120,000",2024-08-10 01:00,,-
Kirim Saldo,BANK BNI,"500,000",2024-08-09 17:58,Ke DOMPET,-
Terima Saldo,DOMPET,"500,000",2024-08-09 17:58,Dari BANK BNI,+
Makanan,DOMPET,"100,000",2024-08-09 17:58,Bakso,-
Kirim Saldo,BANK BRI,"116,304",2024-08-09 15:35,Ke BANK BNI,-
Terima Saldo,BANK BNI,"116,304",2024-08-09 15:35,Dari BANK BRI,+
Kirim Saldo,DOMPET,"180,000",2024-08-09 06:19,Ke SHOPEE PAY,-
Terima Saldo,SHOPEE PAY,"180,000",2024-08-09 06:19,Dari DOMPET,+
Makanan,DOMPET,"41,000",2024-08-09 06:19,,-
Tagih Hutang,BANK BRI,"20,000",2024-08-07 16:55,,+
Tambah Pinjaman,BANK BNI,"50,000",2024-08-07 14:42,,-
Kirim Saldo,DOMPET,"20,000",2024-08-05 20:11,Ke SHOPEE PAY,-
Terima Saldo,SHOPEE PAY,"20,000",2024-08-05 20:11,Dari DOMPET,+
Makanan,DOMPET,"30,000",2024-08-05 20:10,,-
Gaji Maxximum,BANK BNI,"6,500,000",2024-08-05 18:49,Gaji Bulan Juli 2024,+
Bensin,DOMPET,"50,000",2024-08-04 23:13,,-
Kesehatan,DOMPET,"12,000",2024-08-04 23:13,Rest Area Minuman Kratingdaeng ,-
Tambah Pinjaman,BANK BNI,"20,000",2024-08-04 23:12,,-
Rokok,DOMPET,"25,000",2024-08-03 23:13,,-
Kirim Saldo,GOPAY,"25,633",2024-08-03 17:14,Ke BANK BNI,-
Terima Saldo,BANK BNI,"25,633",2024-08-03 17:14,Dari GOPAY,+
Perabotan,BANK BNI,"1,291,800",2024-08-03 17:14,Monitor AOC 24 inch,-
Belanja,DOMPET,"160,000",2024-08-01 21:43,Belanja Bulanan,-
Makanan,DOMPET,"28,102",2024-08-01 21:43,,-
Kirim Saldo,SeaBank,"137,648",2024-08-01 21:41,Ke DOMPET,-
Terima Saldo,DOMPET,"137,648",2024-08-01 21:41,Dari SeaBank,+
Kirim Saldo,DOMPET,"47,804",2024-08-01 21:41,Ke BANK BRI,-
Terima Saldo,BANK BRI,"47,804",2024-08-01 21:41,Dari DOMPET,+
Listrik,DOMPET,"55,000",2024-08-01 21:38,,-
Kost,DOMPET,"50,000",2024-08-01 21:37,Iuran Bulanan,-
Adm Bank,BANK BNI,"27,344",2024-08-01 21:36,Juli 2024,-
Gaji Cempor,BANK BNI,"513,500",2024-08-01 21:35,Latsar - Film Pendek,+
Gaji Cempor,BANK BNI,"1,513,500",2024-08-01 21:35,Latsar - Film Pendek - Pendampingan,+
Gaji Cempor,BANK BNI,"753,500",2024-08-01 21:34,Latsar - Film Pendek - TM,+
Gaji Cempor,BANK BNI,"753,500",2024-08-01 21:33,CPPOB,+
Kirim Saldo,BANK BNI,"500,000",2024-08-01 21:21,Ke DOMPET,-
Terima Saldo,DOMPET,"500,000",2024-08-01 21:21,Dari BANK BNI,+
Bensin,DOMPET,"50,000",2024-07-31 21:42,,-
Minuman,DOMPET,"50,000",2024-07-31 21:42,,-
Bayar Hutang,BANK BNI,"200,000",2024-07-30 12:52,,-
Bayar Hutang,SeaBank,"1,000,000",2024-07-30 12:51,,-
Ayang,BANK BNI,"1,000,000",2024-07-30 12:50,,-
Kirim Saldo,BANK BRI,"800,000",2024-07-29 20:47,Ke DOMPET,-
Terima Saldo,DOMPET,"800,000",2024-07-29 20:47,Dari BANK BRI,+
Kost,DOMPET,"600,000",2024-07-29 20:46,Agustus 2024,-
Belanja,DOMPET,"30,000",2024-07-29 20:46,Telor,-
Minuman,DOMPET,"10,000",2024-07-29 20:46,,-
Bensin,DOMPET,"50,000",2024-07-29 15:31,,-
Makanan,DOMPET,"15,000",2024-07-29 15:31,Pagi,-
Jajan,DOMPET,"50,000",2024-07-28 15:00,Mixue Dll,-
Rokok,DOMPET,"20,000",2024-07-27 17:08,,-
Kesehatan,DOMPET,"20,000",2024-07-27 16:44,Pangkas Rambut,-
Utang,BANK BRI,"62,639",2024-07-27 13:33,Gopinjam September 2024,-
Utang,BANK BRI,"721,639",2024-07-27 13:29,Shopee Pinjam Laptop Bulan Agustus ,-
Spay Later,BANK BRI,"437,846",2024-07-27 13:27,Agustus 2024,-
Tagih Hutang,BANK BRI,"100,000",2024-07-26 16:15,,+
Jajan,DOMPET,"60,000",2024-07-26 13:17,Jajan yupi,-
Belanja,SeaBank,"56,000",2024-07-26 12:21,Type C To Jack 3.5,-
Makanan,DOMPET,"35,000",2024-07-26 12:07,Makan,-
Rokok,DOMPET,"35,000",2024-07-26 12:07,,-
Bensin,DOMPET,"50,000",2024-07-26 06:40,,-
Belanja,SeaBank,"225,000",2024-07-24 20:44,Jaket,-
Utang,BANK BNI,"100,000",2024-07-24 20:44,Cempor IDCARD,-
Makanan,DOMPET,"30,000",2024-07-23 21:09,Siang Malam,-
Adek,BANK BNI,"20,000",2024-07-22 18:46,Dana,-
Makanan,DOMPET,"20,000",2024-07-22 18:46,Makan Siang,-
Belanja,DOMPET,"75,000",2024-07-22 13:52,HVS Cempor + Jajan,-
Makanan,DOMPET,"45,000",2024-07-21 23:16,Nasi Magelang 2,-
Minuman,DOMPET,"60,000",2024-07-21 23:15,Lemon 2,-
Kirim Saldo,BANK BRI,"200,000",2024-07-21 23:02,Ke DOMPET,-
Terima Saldo,DOMPET,"200,000",2024-07-21 23:02,Dari BANK BRI,+
Bensin,DOMPET,"50,000",2024-07-21 23:02,Sukabumi ,-
Jajan,DOMPET,"70,000",2024-07-20 17:45,Bdg-Sukabumi,-
Kirim Saldo,BANK BNI,"500,000",2024-07-20 15:18,Ke DOMPET,-
Terima Saldo,DOMPET,"500,000",2024-07-20 15:18,Dari BANK BNI,+
Minuman,DOMPET,"10,000",2024-07-20 15:11,Jus Mangga,-
Motor,DOMPET,"15,000",2024-07-20 15:11,Cuci Motor,-
Makanan,DOMPET,"10,000",2024-07-20 11:25,Pagi,-
Belanja,DOMPET,"100,000",2024-07-19 22:50,Lainnya,-
Kesehatan,DOMPET,"400,000",2024-07-19 22:49,Makan Pas sakit,-
Bensin,DOMPET,"250,000",2024-07-19 22:49,,-
Rokok,DOMPET,"62,000",2024-07-19 22:49,,-
Listrik,DOMPET,"58,406",2024-07-19 22:48,Listrik,-
Kuota Internet,DOMPET,"100,000",2024-07-19 22:48,,-
Utang,DOMPET,"62,000",2024-07-19 22:47,Gopinjam Juli 2024,-
Utang,DOMPET,"81,490",2024-07-19 22:47,Goaylater Juli 2024,-
Kirim Saldo,GOPAY,"48,067",2024-07-19 22:35,Ke DOMPET,-
Terima Saldo,DOMPET,"48,067",2024-07-19 22:35,Dari GOPAY,+
Kirim Saldo,DOMPET,"9,000",2024-07-19 22:35,Ke SHOPEE PAY,-
Terima Saldo,SHOPEE PAY,"9,000",2024-07-19 22:35,Dari DOMPET,+
Kirim Saldo,BANK BNI,"1,130,485",2024-07-19 22:32,Ke DOMPET,-
Terima Saldo,DOMPET,"1,130,485",2024-07-19 22:32,Dari BANK BNI,+
Tambah Pinjaman,DOMPET,"100,000",2024-07-19 22:31,,-
Belanja,SeaBank,"140,650",2024-07-19 22:30,Kaos Polos 6Pcs,-
Belanja,SeaBank,"104,003",2024-07-19 22:30,Celana Dalam,-
Utang,SeaBank,"412,365",2024-07-19 22:29,Spinjam Wisuda Juli 2024,-
Kirim Saldo,BANK BNI,"2,187,050",2024-07-19 22:25,Ke BANK BRI,-
Terima Saldo,BANK BRI,"2,187,050",2024-07-19 22:25,Dari BANK BNI,+
Hutang,BANK BNI,"600,000",2024-07-10 22:21,Sakit,+
Ayang,BANK BNI,"500,000",2024-07-07 08:00,Amplop,-
Kesehatan,DOMPET,"20,000",2024-07-05 19:19,Pangkas rambut ,-
Bensin,DOMPET,"35,000",2024-07-05 19:19,,-
Makanan,DOMPET,"26,000",2024-07-05 19:19,10 Telor Omega,-
Motor,DOMPET,"15,000",2024-07-05 19:18,,-
Ayang,DOMPET,"115,000",2024-07-05 19:18,BSL3,-
Makanan,DOMPET,"60,000",2024-07-05 14:32,Soreang,-
Makanan,DOMPET,"20,000",2024-07-05 07:55,Makan Malam,-
Motor,BANK BNI,"700,000",2024-07-04 21:59,Helem + Jas Hujan,-
Jajan,DOMPET,"10,000",2024-07-04 14:31,Josu,-
Rokok,DOMPET,"15,000",2024-07-04 14:30,Coklat Extra,-
Makanan,DOMPET,"15,000",2024-07-04 13:58,Makan Siang,-
Gaji Maxximum,BANK BNI,"5,000,000",2024-07-04 10:07,Gaji Bulan Juni,+
Kuota Internet,GOPAY,"6,300",2024-07-03 23:57,Pulsa,-
Minuman,DOMPET,"15,000",2024-07-03 23:15,Netral,-
Bensin,DOMPET,"35,000",2024-07-03 21:57,,-
Hutang,SeaBank,"3,000,000",2024-07-03 21:33,,+
Makanan,DOMPET,"99,000",2024-06-30 21:39,4 Hari,-
Rokok,DOMPET,"50,000",2024-06-30 21:38,Twiz + Coklat extra + Jarum Coklat,-
Bensin,DOMPET,"100,000",2024-06-30 21:37,,-
Kirim Saldo,BANK BNI,"141,602",2024-06-30 21:35,Ke DOMPET,-
Terima Saldo,DOMPET,"141,602",2024-06-30 21:35,Dari BANK BNI,+
Rokok,DOMPET,"20,000",2024-06-28 19:46,Jarcok + Kopi,-
Makanan,DOMPET,"80,000",2024-06-28 19:45,Beberapa hari kebelakang ,-
Kost,DOMPET,"600,000",2024-06-28 19:42,Juni 2024,-
Kirim Saldo,BANK BNI,"1,000,000",2024-06-28 18:14,Ke DOMPET,-
Terima Saldo,DOMPET,"1,000,000",2024-06-28 18:14,Dari BANK BNI,+
Bensin,DOMPET,"50,000",2024-06-28 18:14,,-
Gaji Cempor,BANK BNI,"2,500,000",2024-06-28 08:21,Barbershop 2024,+
Makanan,DOMPET,"18,000",2024-06-28 08:03,Makan Sate,-
Utang,BANK BNI,"1,880,000",2024-06-27 22:10,SPinjam Juni 2024,-
Belanja,BANK BNI,"309,000",2024-06-27 17:22,Foto,-
Ayang,BANK BRI,"150,000",2024-06-27 06:37,Celana Hitam Bahan,-
Spay Later,BANK BNI,"272,000",2024-06-26 22:10,Juli 2024,-
Utang,BANK BNI,"63,000",2024-06-26 22:07,Go Pinjam Juli,-
Belanja,GOPAY,"28,000",2024-06-26 22:03,Bilibili bulanan,-
Belanja,GOPAY,"20,000",2024-06-26 22:03,Korset,-
Kesehatan,DOMPET,"35,000",2024-06-26 22:03,Cukur Gillette ,-
Dapur,DOMPET,"30,000",2024-06-26 22:03,Telor,-
Utang,BANK BNI,"82,000",2024-06-26 22:02,Goaylater ,-
Kirim Saldo,BANK BNI,"500,000",2024-06-26 06:59,Ke DOMPET,-
Terima Saldo,DOMPET,"500,000",2024-06-26 06:59,Dari BANK BNI,+
Minuman,DOMPET,"90,000",2024-06-25 22:04,API,-
Tagih Hutang,GOPAY,"128,000",2024-06-25 11:03,,+
Rokok,DOMPET,"40,000",2024-06-23 22:42,Twizz + Korek + Kratingdaeng ,-
Ayang,BANK BNI,"147,000",2024-06-23 18:49,Batik,-
Belanja,DOMPET,"65,000",2024-06-23 18:47,Meja Belajar,-
Belanja,DOMPET,"25,000",2024-06-22 23:29,,-
Rokok,DOMPET,"26,000",2024-06-22 23:29,Camel,-
Bensin,DOMPET,"20,000",2024-06-22 23:29,,-
Listrik,BANK BRI,"53,000",2024-06-22 23:23,,-
Kirim Saldo,BANK BNI,"200,000",2024-06-22 23:23,Ke DOMPET,-
Terima Saldo,DOMPET,"200,000",2024-06-22 23:23,Dari BANK BNI,+
Belanja,DOMPET,"60,000",2024-06-21 19:44,Whiteboard,-
Jajan,DOMPET,"70,000",2024-06-20 06:36,,-
Rokok,DOMPET,"15,000",2024-06-19 06:37,,-
Jajan,DOMPET,"29,150",2024-06-18 07:47,Pulang je cianjur ,-
Jajan,DOMPET,"84,000",2024-06-18 07:46,Berangkat ke Sukabumi ,-
Jajan,GOPAY,"18,276",2024-06-18 07:44,,-
Kirim Saldo,BANK BRI,"199,650",2024-06-18 07:43,Ke DOMPET,-
Terima Saldo,DOMPET,"199,650",2024-06-18 07:43,Dari BANK BRI,+
Kirim Saldo,BANK BRI,"48,850",2024-06-18 07:42,Ke BANK BNI,-
Terima Saldo,BANK BNI,"48,850",2024-06-18 07:42,Dari BANK BRI,+
Tagih Hutang,DOMPET,"79,500",2024-06-18 07:41,,+
Belanja,DOMPET,"35,000",2024-06-15 18:15,Belanja bulanan,-
Tagih Hutang,BANK BRI,"170,500",2024-06-15 16:28,,+
Bensin,DOMPET,"100,000",2024-06-15 07:46,,-
Kirim Saldo,BANK BNI,"50,000",2024-06-14 12:46,Ke DOMPET,-
Terima Saldo,DOMPET,"50,000",2024-06-14 12:46,Dari BANK BNI,+
Makanan,DOMPET,"20,000",2024-06-14 12:46,Makan Siang,-
Jajan,DOMPET,"49,000",2024-06-13 20:59,Balance,-
Bensin,DOMPET,"56,000",2024-06-13 20:48,,-
Motor,DOMPET,"150,000",2024-06-13 13:19,Service bulanan + shock depan,-
Makanan,DOMPET,"12,000",2024-06-13 10:31,Makan Pagi,-
Belanja,BANK BNI,"70,000",2024-06-13 09:52,Pakaian,-
Kirim Saldo,BANK BNI,"250,000",2024-06-13 09:51,Ke DOMPET,-
Terima Saldo,DOMPET,"250,000",2024-06-13 09:51,Dari BANK BNI,+
Makanan,DOMPET,"14,000",2024-06-11 20:13,Makan Malam,-
Kuota Internet,BANK BNI,"50,000",2024-06-11 15:19,,-
Tagih Hutang,BANK BNI,"600,000",2024-06-10 21:27,,+
Makanan,DOMPET,"13,000",2024-06-10 12:30,Makan siang,-
Utang,BANK BNI,"236,219",2024-06-10 08:22,Gopinjam Bulan Juni,-
Tambah Pinjaman,BANK BNI,"100,000",2024-06-09 16:43,Riafli,-
Jajan,DOMPET,"20,000",2024-06-09 08:19,,-
Jajan,DOMPET,"34,000",2024-06-09 08:19,Jajan Sukabumi ,-
Bensin,DOMPET,"45,000",2024-06-09 08:18,,-
Beri Pinjaman,BANK BNI,"600,000",2024-06-08 14:49,,-
Jajan,DOMPET,"50,000",2024-06-08 13:03,Hilang,-
Makanan,DOMPET,"60,000",2024-06-08 13:03,Pindang+ jajan,-
Kirim Saldo,BANK BNI,"250,000",2024-06-08 13:02,Ke DOMPET,-
Terima Saldo,DOMPET,"250,000",2024-06-08 13:02,Dari BANK BNI,+
Biaya Admin,BANK BNI,"5,000",2024-06-08 13:02,Biaya Admin,-
Adek,DOMPET,"100,000",2024-06-08 11:33,Graduasi,-
Tambah Pinjaman,BANK BNI,"48,000",2024-06-08 10:01,Casan HP,-
Kirim Saldo,BANK BNI,"200,000",2024-06-08 07:34,Ke DOMPET,-
Terima Saldo,DOMPET,"200,000",2024-06-08 07:34,Dari BANK BNI,+
Biaya Admin,BANK BNI,"3,000",2024-06-08 07:34,Biaya Admin,-
Kirim Saldo,BANK BNI,"300,000",2024-06-08 07:33,Ke BANK BRI,-
Terima Saldo,BANK BRI,"300,000",2024-06-08 07:33,Dari BANK BNI,+
Biaya Admin,BANK BNI,"3,000",2024-06-08 07:33,Biaya Admin,-
Jajan,DOMPET,"45,000",2024-06-07 19:00,Seblak,-
Transfer Amplop,DOMPET,"50,000",2024-06-07 16:08,Tazkiah Ima,-
Rokok,DOMPET,"26,000",2024-06-07 16:06,Magnum 1bks,-
Bensin,DOMPET,"51,000",2024-06-07 16:06,,-
Makanan,DOMPET,"15,000",2024-06-07 11:47,Makan Pagi,-
Jajan,DOMPET,"50,000",2024-06-07 11:47,Alfa sebelum pulang ,-
Tambah Pinjaman,BANK BNI,"10,000",2024-06-06 22:23,Masih penasaran lagi,-
Tambah Pinjaman,BANK BNI,"10,000",2024-06-06 22:08,Penasaran ,-
Tambah Pinjaman,BANK BNI,"20,000",2024-06-06 21:36,Gambling ,-
Tambah Pinjaman,DOMPET,"30,000",2024-06-06 21:33,Kembalikan tgl 25,-
